cID,compID,Year,Brand,Model,Lap Time I,RC I,Tire II,Lap Time II,RC II,Tire III,Lap Time III,RC III,Country,MSRP (2022 USD),WHP,WTQ,Weight,P/W (hp/t),Layout,Trans,Rating,DR,_HD,Author,Source,Comments / Other Times,,,,,,,,,,
73,0,1962,Aston Martin,DB4 GT Zagato,1:08.157,1,,,,,,,Britain,"$123,587.77 ",283,340,1269,223.0102443,FR,MT,2.5,2,R,Velo,link,,,,,,,,,,,
74,0,1964,Aston Martin,DB5 Vantage S,,,,,,,,,Britain,"$131,503.85 ",314,365,1414,222.0650636,FR,MT,,2,R,Kodai,link,,,,,,,,,,,
75,0,1977,Aston Martin,V8 Vantage,,,,,,,,,Britain,"$173,854.95 ",335,358,1740,192.5287356,FR,MT,,2,L,unknown (Assettoland),link,,,,,,,,,,,
76,0,1977,Aston Martin,V8 Vantage S,,,,,,,,,Britain,"$200,000.00 ",525,713,1740,301.7241379,FR,MT,,2,L,Kodai,link,,,,,,,,,,,
77,0,1998,Aston Martin,Vantage V600,,,,,,,,,Britain,"$692,274.68",509,648,1920,265.1041667,FR,MT,,2,L,JakubP,,,,,,,,,,,,
78,0,2008,Aston Martin,V8 Vantage,1:05.950,0,,,,,,,Britain,"$167,339.14",359,358,1550,231.6129032,FR,MT,3,2,R,TGN,Patreon,,,,,,,,,,,
1489,0,2015,Aston Martin,V12 Vantage S,,,,,,,,,Britain,"$228,699.69",441,469,1655,266.4652568,FR,MT,,2,L,SELEXYS,Patreon,,,,,,,,,,,
79,0,2016,Aston Martin,Vantage GT12,,,,,,,,,Britain,"$475,093.79",522,544,1560,334.6153846,FR,AT,,2,L,Han Zhao,link,,,,,,,,,,,
80,0,2016,Aston Martin,Vantage GT12,,,,,,,,,Britain,"$475,093.79",516,545,1565,329.7124601,FR,AT,,2,L,Mike Y,link,,,,,,,,,,,
81,0,2018,Aston Martin,Vantage,,,,,,,,,Britain,"$146,986.00",430,585,1530,281.0457516,FR,AT,,2,L,Binary Motors,Patreon,,,,,,,,,,,
82,0,2020,Aston Martin,Vantage AMR,,,,,,,,,Britain,"$207,022.05",443,548,1530,289.5424837,FR,MT,,2,L,Mike Y,link,,,,,,,,,,,
83,0,2011,Aston Martin,One-77,,,,,,,,,Britain,"$2,462,177.61",551,713,1630,338.0368098,FR,AT,,2,L,BD,link,,,,,,,,,,,
84,0,2011,Aston Martin,One-77,,,,,,,,,Britain,"$2,462,177.61",613,598,1630,376.0736196,FR,AT,,2,L,BD (VR Driving),Patreon,,,,,,,,,,,
85,0,2020,Aston Martin,Victor,1:00.861,0,,,,,,,Britain,">$2,000,000.00",727,690,1350,538.5185185,FR,AT,3,2,L,MNBA,Patreon,good vis model but feels inert ,,,,,,,,,,
86,0,2022,Aston Martin,V12 Speedster,,,,,,,,,Britain,"$815,000.00",581,649,1500,387.3333333,FR,AT,,2,L,RemZona,link,probably inaccurate,,,,,,,,,,
87,0,2022,Aston Martin,V12 Speedster,,,,,,,,,Britain,"$815,000.00",568,633,1500,378.6666667,FR,AT,,2,L,Quy,link,,,,,,,,,,,
88,0,2023,Aston Martin,Valkyrie Track Pack,,,,,,,,,Britain,"$3,000,000.00",750,690,1030,728.1553398,MR,AT,,2,R,Binary Motors,Patreon,,,,,,,,,,,
89,3,2006,Audi,R8 4.2 FSI,1:03.88,0,,,,,,,Germany,"$149,063.83",354,376,1604,220.6982544,M4,AT,,2,L,Audi,irl,,,,,,,,,,,
90,0,2006,Audi,R8 4.2 FSI,,,,,,,,,Germany,"$149,063.83",360,375,1620,222.2222222,MR,MT,,2,L,101Creative,Patreon,,,,,,,,,,,
91,3,2007,Audi,R8 4.2 FSI,1:04.959,0,,,,,,,Germany,"$149,063.83",369,378,1635,225.6880734,MR,AT,3.5,2,L,Touge,link,"very inert feel, drives like a fwd car, will not get unsettled",,,,,,,,,,
