Rank,Vehicle,Driver,Time,PS / KG
121.,Renault Megane RS Trophy,Keiichi Tsuchiya,1:05.81,300 / 1477
122.,Porsche 911 Carrera RS (964),unknown,1:05.86,260 / 1219
123.,Lotus Exige Cup 260,unknown,1:05.88,260 / 890
124.,Subaru Impreza WRX STi Spec C,unknown,1:05.88,308 / 1457
125.,Lancer Evo VIII RS 5MT,unknown,1:05.89,280 / 1320
126.,Caterham R300 Superlight,unknown,1:05.91,175 / 576
127.,Subaru Impreza WRX STI,unknown,1:05.92,280 / 1270
128.,Ferrari 599 GTB Fiorano,unknown,1:05.92,620 / 1787
129.,Porsche 911 Carrera 4,unknown,1:05.96,345 / 1494
130.,Nissan Skyline GT-R V-spec,unknown,1:05.96,280 / 1500
131.,Honda Civic Type R (FK8),Keiichi Tsuchiya,1:05.97,320 / 1405
132.,Porsche 911 Turbo 3.6 (993),unknown,1:05.97,408 / 1518
133.,Porsche 911 Carrera 4 (997),unknown,1:05.98,325 / 1450
134.,Nissan Skyline GT-R (R34),unknown,1:06.00,280 / 1666
135.,Mitsubishi Lancer Evo VIII GSR,unknown,1:06.00,280 / -
136.,Porsche Cayman S (981),unknown,1:06.01,325 / 1391
137.,RUF CTR Yellow Bird,unknown,1:06.12,469 / 1198
138.,Lancer Evo X Ralliart,unknown,1:06.12,304 / -
139.,Porsche Panamera 4S (Mk I),unknown,1:06.15,400 / 1922
140.,BMW M3 (E90),unknown,1:06.15,420 / 1658
141.,Nissan Nismo 350Z,unknown,1:06.20,313 / 1610
142.,Renault Megane RS 275 Trophy R,unknown,1:06.21,279 / 1302
143.,Toyota GR Yaris (Mk IV),unknown,1:06.22,272 / 1292
144.,Subaru Impreza WRX Type RA,unknown,1:06.26,260 / -
145.,Audi TT RS Coupe (Mk II),unknown,1:06.27,340 / 1477
146.,Subaru Impreza WRX STI R205,unknown,1:06.28,320 / 1470
147.,Mercedes-Benz A 45 AMG,unknown,1:06.32,380 / 1569
148.,Mazda RX-7 (255 PS),unknown,1:06.32,255 / 1286
