Year,Brand,Model,Lap Time I, RC,Tire II,Lap Time II,RC,Tire III,Lap Time III,RC,Country,MSRP (2022 USD),WHP,WTorque,Weight,P/W (kg/hp),Layout,Trans,Rating,_HD,Author,Source,Comments / Other Times,,,,,,,
1998,Aston Martin,Vantage V600,,,,,,,,,Britain,,509,648,1920,3.772102161,FR,MT,,L,JakubP,,,,,,,,,
2008,Aston Martin,V8 Vantage,1:05.950,0,,,,,,,Britain,"$167,339.14",359,358,1550,4.317548747,FR,MT,3,R,TGN,Patreon,,,,,,,,
2016,Aston Martin,Vantage GT12,,,,,,,,,Britain,"$475,093.79",516,545,1565,3.032945736,FR,AT,,L,Mike Y,link,,,,,,,,
2008,Aston Martin,One-77,,,,,,,,,Britain,"$2,462,177.61",551,713,1630,2.958257713,FR,AT,,L,Assettodrive,link,,,,,,,,
2020,Aston Martin,Victor,1:00.861,0,,,,,,,Britain,">$2,000,000.00",727,690,1350,1.956521739,FR,AT,3,L,MNBA,Patreon,good model feels inert ,,,,,,,
2022,Aston Martin,V12 Speedster,,,,,,,,,Britain,"$815,000.00",581,649,1500,2.311248074,FR,AT,,L,RemZona,link,probably inaccurate,,,,,,,
2022,Aston Martin,V12 Speedster,,,,,,,,,Britain,"$815,000.00",698,753,1765,2.343957503,FR,AT,,L,Quy,link,,,,,,,,
2006,Audi,R8 4.2 FSI,,,,,,,,,Germany,"$149,063.83",360,375,1620,4.32,MR,,,L,101Creative,Patreon,,,,,,,,
2006,Audi,R8 4.2 FSI,1:03.88,0,,,,,,,Germany,"$149,063.83",354,376,1604,4.265957447,M4,AT,,L,Audi,irl,,,,,,,,
2009,Audi,R8 V10 5.2 FSI,1:04.87,0,,,,,,,Germany,"$220,881.99",485,474,1671,3.445360825,M4,AT,,L,Audi,irl,,,,,,,,
2007,Audi,R8 V10 Plus,1:03.412,0,SM,1:02.994,,,,,Germany,"$220,881.99",466,454,1620,3.47639485,M4,AT,3.5,L,Kunos,AC,,,,,,,,
2016,Audi,R8 V10 Plus,0:58.080,3,MPSC2,0:56.789,3,,,,Germany,"$284,385.57",654,604,1580,2.415902141,M4,AT,2,L,Velo x TGN,Patreon,data power/torque is way too high and magic tires or audi needs to send an r8 to japan rn for a record lol,,,,,,,
2016,Audi,R8 V10 Plus,1:02.21,0,,,,,,,Germany,"$284,385.57",515,378,1637,3.178640777,M4,AT,,,,,,,,,,,,
2020,Audi,R8 V10 Performance Decennium,1:03.103,0,SM,1:02.008,0,,,,Germany,,519,524,1670,3.217726397,M4,AT,,L,?,link,,,,,,,,
2021,Audi,R8 V10 Performance,0:57.795,3,,,,,,,Germany,"$200,295.00",539,518,1580,2.93135436,M4,AT,2,L,Ajiyizhihua,link,,,,,,,,
1993,Audi,RS2 Avant,,,,,,,,,Germany,,242,380,1595,6.590909091,F4,MT,,L,Gentle Mind Performance,link,,,,,,,,
2008,Audi,S3 Sportback,1:10.01,0,,,,,,,Germany,"$62,123.06",273,396,1570,5.750915751,F4,AT,,L,Audi,irl,,,,,,,,
2011,Audi,RS3 (8P),,,,,,,,,Germany,"$65,833.63",333,476,1575,4.72972973,F4,AT,,L,DJP,link,too much power,,,,,,,
2019,Audi,S3 (8V),,,,,,,,,Germany,"$57,691.70",261,338,1450,5.555555556,F4,AT,,L,Redlex,link,,,,,,,,
2020,Audi,RS3 (8V),,,,,,,,,Germany,"$64,312.44",388,420,1575,4.059278351,F4,AT,,L,MoulagaZzZ,Patreon,,,,,,,,
