Year,Brand,Model,Lap Time I, RC,Tire II,Lap Time II,RC,Tire III,Lap Time III,RC,Country,MSRP (2022 USD),WHP,WTorque,Weight,P/W (kg/hp),Layout,Trans,Rating,_HD,Author,Source,Comments / Other Times,,,,,,,
2021,Dodge,Charger R/T Scat Pack,1:08.832,0,,,,,,,USA,,485,644,1983,4.088659794,FR,AT,3.5,L,Bruce K.,link,,,,,,,,
2020,Dodge,Charger SRT Hellcat Widebody,1:06.732,0,,,,,,,USA,,717,881,2027,2.827057183,FR,AT,3,L,Bruce K.,link,,,,,,,,
2021,Dodge,Charger SRT Hellcat Redeye Widebody,1:07.297,0,,,,,,,USA,,797,959,2027,2.543287327,FR,AT,2.5,L,Bruce K.,link,higher power exposes poor ffb/handling model of mod more,,,,,,,
1996,Dodge,Stealth Turbo R/T,1:07.769,0,,,,,,,USA,,323,429,1722,5.33126935,F4,MT,3.5,L,Uncle M,link,ffb is kind of dead but car is not too bad,,,,,,,
2005,Dodge,SRT-4 ACR,1:10.209,0,,,,,,,USA,,200,295,1305,6.525,FF,MT,4,L,101Creative,link,"high fidelity ffb , good believable physics and limit handling",,,,,,,
1995,Dodge,Viper RT/10,1:06.415,1,SM,1:04.913,2,,,,USA,,341,535,1494,4.381231672,FR,MT,3.5,L,A3DR,RD,"seems too planted considering cars reputation but when seperating mod from reputation, the car is a good quality mod",,,,,,,
1992,Dodge,Viper RT/10,1:07.89,0,,,,,,,USA,,356,556,1543,4.334269663,FR,MT,,L,Dodge,irl,,,,,,,,
1999,Dodge,Viper GTS ACR,1:07.115,0,SM,1:05.823,0,HR,1:04.402,0,USA,,400,590,1562,3.905,FR,MT,3,L,Gibbons,link,,,,,,,,
2003,Dodge,Viper SRT10,1:05.578,0,SM,1:04.041,0,,,,USA,,468,576,1550,3.311965812,FR,MT,3,L,PedroBLR,link,,,,,,,,
2013,Dodge,Viper GTS Track Pack,1:04.157,0,HR,1:02.894,0,,,,USA,,556,681,1530,2.751798561,FR,MT,4,L,BZ Simworks,FB,"all BZ vipers share this trait but is most apparent in GTS- the front tires feel like they come preworn and the cars understeer far more than irl (no front end ""bite"")",,,,,,,
2014,Dodge,Viper TA,1:03.796,0,HR,1:02.510,0,,,,USA,,556,681,1520,2.73381295,FR,MT,4,L,BZ Simworks,FB,less understeery than gts,,,,,,,
2016,Dodge,Viper TA 2.0,1:02.924,0,HR,1:01.968,0,,,,USA,,556,681,1520,2.73381295,FR,MT,4.5,L,BZ Simworks,FB,the BZ vipers with aero feel substantially better at low speeds puzzlingly and are accordingly more enjoyable,,,,,,,
2016,Dodge,Viper ACR,1:01.918,0,HR,1:00.105,0,,,,USA,,556,681,1520,2.73381295,FR,MT,5,L,BZ Simworks,FB,ACR still has slightly too little grip in the front but is nonetheless one of the most enjoyable mod cars ive driven to date,,,,,,,
2016,Dodge,Viper ACR Extreme Package,1:01.345,0,HR,0:59.137,,,,,USA,,556,681,1520,2.73381295,FR,MT,5,L,BZ Simworks,FB,all of the above + just plain better; best BZ simworks viper,,,,,,,
2012,Eagle,Speedster 4.7,1:04.943),2,SM,1:03.165,3,,,,Britain,,297,440,1008,3.393939394,FR,MT,3,R,Velo,link,hard to gauge whether its too fast because this is outside my knowledge but the feel is a little odd,,,,,,,
1969,Ferrari,246 GT Dino,1:13.173,2,SM,1:10.229,3,,,,Italy,,179,210,1080,6.033519553,MR,MT,2,L,Full Throttle,,too grippy feels almost awd let alone mid engine from the 60s,,,,,,,
1972,Ferrari,246 GTS Dino,1:15.699,0,SM,1:13.891,2,,,,Italy,,167,195,1100,6.586826347,MR,MT,2.5,L,GeroDa74,,feels more believable compared to above but still has odd handling characteristics,,,,,,,
1977,Ferrari,308 GTS,1:14.173,0,SM,1:12.963,0,,,,Italy,,220,251,1340,6.090909091,MR,MT,2,L,GeroDa74,link,if you have nothing nice to say dont say anything at all,,,,,,,
1989,Ferrari,348 Spider,1:04.861,3,,,,,,,Italy,,308,324,1302,4.227272727,MR,MT,3,L,MNBA,Patreon,"seems to be a common pattern where MNBA cars are extremely over tyred and too grippy, car feels about right powerwise but feels like an 80s supercar on Cup 2's",,,,,,,
1989,Ferrari,348TB,1:09.50,0,,,,,,,Italy,,254,270,1393,5.484251969,MR,MT,,L,Ferrari,irl,,,,,,,,
1998,Ferrari,F355 Berlinetta,1:07.902,0,SM,1:05.724,0,ST,1:06.445,0,Italy,,326,316,1448,4.441717791,MR,MT,4,L,GadU BoyZ Mod,Patreon,"delight to drive, well made",,,,,,,
1995,Ferrari,F355,1:07.89,0,,,,,,,Italy,,314,305,1447,4.608280255,MR,MT,,L,Ferrari,irl,,,,,,,,
1999,Ferrari,360 Modena,1:05.25,0,,,,,,,Italy,,337,331,1451,4.305637982,MR,AT,,L,Ferrari,irl,,,,,,,,
2003,Ferrari,360 Challenge Stradale,1:05.945,0,,,,,,,Italy,,365,339,1430,3.917808219,MR,MT,4,L,Jandrovi,Youtube,"challenging as a mid engine race car for the road should be, time could probably be a little faster",,,,,,,
2003,Ferrari,360 Challenge Stradale,,,,,,,,,Italy,,365,325,1280,3.506849315,MR,B,,L,GadU BoyZ Mod,Patreon,,,,,,,,
2004,Ferrari,F430,1:04.443,0,,,,,,,Italy,,438,412,1350,3.082191781,MR,B,3.5,L,MNBA,Patreon,,,,,,,,
2008,Ferrari,SP1,,,,,,,,,Italy,,438,412,1500,3.424657534,MR,AT,,L,DanielDi,Patreon,,,,,,,,
2007,Ferrari,F430 Scuderia,1:01.946,1,,,,,,,Italy,,439,407,1350,3.075170843,MR,AT,4,L,Binary Motors (Jerry Wei),link,,,,,,,,
2007,Ferrari,F430 Scuderia,1:08.31,0,,,,,,,Italy,,449,431,1376,3.064587973,MR,AT,,L,Ferrari,irl,wet track irl- cant be used as valid comp,,,,,,,
2011,Ferrari,458 Italia,1:02.530,0,,,,,,,Italy,,499,466,1573,3.152304609,MR,AT,4,L,Kunos,AC,,,,,,,,
2009,Ferrari,458 Italia,1:02.24,0,,,,,,,Italy,,464,438,1529,3.295258621,MR,AT,,L,Ferrari,irl,,,,,,,,
2013,Ferrari,458 Speciale,1:00.661,0,,,,,,,Italy,,575,537,1395,2.426086957,MR,AT,5,L,Jandrovi,Youtube,very satisfying to drive- i may be becoming a mid engine enjoyer,,,,,,,
2015,Ferrari,488 GTB,1:00.578,0,,,,,,,Italy,,548,590,1370,2.5,MR,AT,4,L,Kunos,AC (3P),seems a little too grippy for the stocks it comes with from the factory but a believable time given a tire change  to a slightly hotter tire or maybe even perfect conditions,,,,,,,
2018,Ferrari,488 Pista,,,,,,,,,Italy,,623,680,1350,2.166934189,MR,AT,,L,ACR,FB,,,,,,,,
2019,Ferrari,488 Pista,0:59.000,1,,,,,,,Italy,,623,670,1285,2.062600321,MR,AT,5,L,BZ Simworks,FB,"despite seeming a little fast , very satisfying to drive highly recommend",,,,,,,
2019,Ferrari,488 Pista Spider,0:59.690,,,,,,,,Italy,,623,670,1380,2.215088283,MR,AT,5,L,BZ Simworks,FB,,,,,,,,
2020,Ferrari,F8 Tributo,1:00.951,,,,,,,,Italy,,548,590,1370,2.5,MR,AT,3,L,Rollovers,link,whp wtq seems too low for once,,,,,,,
2021,Ferrari,F8 Tributo,,,,,,,,,Italy,,624,671,1350,2.163461538,MR,AT,,L,ACR,FB,,,,,,,,
2020,Ferrari,SF90 Stradale,0:58.971,0,Trofeo,0:57.337,1,,,,Italy,,655,689,1570,2.396946565,M4,AT,4,L,MNBA,Patreon,seems a little too fast on the hotter tires but drives like the hypercar in supercar clothing it is,,,,,,,
2020,Ferrari,SF90 Stradale,,,,,,,,,Italy,,675,695,1570,2.325925926,M4,AT,,L,ACR,FB,,,,,,,,
2023,Ferrari,296 GTS,,,,,,,,,Italy,,655,689,1540,2.351145038,MR,AT,,L,Binary Motors,link,,,,,,,,
1959,Ferrari,250 GT Berlinetta,1:11.351,2,,,,,,,Italy,,240,247,1040,4.333333333,FR,MT,2,L,GeroDa74,link,too grippy and physics/ff is extremely unpolished,,,,,,,
1964,Ferrari,275 GTB,1:12.042,2,,,,,,,Italy,,290,294,1100,3.793103448,FR,MT,2.5,L,GeroDa74,link,"not sure if real 60s tires could pull this time off, regardless unpolished physics/ff again ",,,,,,,
1969,Ferrari,365 GTB,1:11.586,2,,,,,,,Italy,,312,389,1600,5.128205128,FR,MT,2.5,L,?,link,"not sure if real 60s tires could pull this time off, regardless unpolished physics/ff again ",,,,,,,
1976,Ferrari,512 BB,1:07.879,3,,,,,,,Italy,,318,397,1425,4.481132075,MR,MT,3,L,GeroDa74,link,drivable but way too fast,,,,,,,
1984,Ferrari,Testarossa,1:06.690,3,,,,,,,Italy,,327,461,1500,4.587155963,MR,MT,3,L,PedroBLR,link,"too fast, feels like a modern car",,,,,,,
1984,Ferrari,Testarossa,1:10.63,0,,,,,,,Italy,,319,386,1657,5.194357367,MR,MT,,L,Ferrari,irl,,,,,,,,
1994,Ferrari,512 TR,1:07.016,1,ST,1:04.996,2,,,,Italy,,381,442,1573,4.128608924,MR,MT,4,L,A3DR,RD,mod aligns with how i imagine this car drives irl and either way quite enjoyable,,,,,,,
1991,Ferrari,512TR,1:08.68,0,,,,,,,Italy,,409,482,1591,3.88997555,MR,MT,,L,Ferrari,irl,,,,,,,,
2003,Ferrari,575 Maranello,1:06.105,0,,,,,,,Italy,,443,512,1730,3.905191874,FR,B,3.5,L,GadU BoyZ Mod,Patreon,hq model,,,,,,,
2006,Ferrari,599 GTB,1:05.92,0,,,,,,,Italy,,532,528,1787,3.359022556,MR,AT,,L,Ferrari,irl,,,,,,,,
2010,Ferrari,599 GTO,1:00.030,1,Trofeo,0:59.339,2,,,,Italy,,583,549,1495,2.56432247,FR,AT,3.5,L,MNBA,Patreon,"too fast on hotter tire, stock tire time seems plausible",,,,,,,
2012,Ferrari,F12 Berlinetta,1:01.273,0,MPC2R,0:57.135,3,Trofeo,0:59.597,2,Italy,,664,599,1525,2.296686747,FR,AT,3.5,L,MNBA,Patreon,"59.597 on ""HPTrofeo"", 57.135 on MPC2R; way too fast on the hotter tires",,,,,,,
2012,Ferrari,F12 TDF,0:59.882,0,MPC2R,0:58.429,2,Trofeo,0:58.941,1,Italy,,705,650,1520,2.156028369,FR,AT,3.5,L,MNBA,Patreon,"58.941 on ""HPTrofeo"", 58.429 on MPC2R; other times almost plausible but feels too planted imo",,,,,,,
2017,Ferrari,GTC4 Lusso,,,,,,,,,Italy,,530,602,1790,3.377358491,FR,AT,,L,?,link,probably v8,,,,,,,
2017,Ferrari,812 Superfast,1:00.443,0,,,,,,,Italy,,700,628,1525,2.178571429,FR,AT,4,L,Kunos,AC (FP),,,,,,,,
2019,Ferrari,Monza SP1/SP2,,,,,,,,,Italy,,686,598,1500,2.186588921,FR,AT,,L,Lu Thua Kien,link,,,,,,,,
2022,Ferrari,812 Competizione,0:59.767,0,,,,,,,Italy,,747,658,1480,1.981258367,FR,AT,4,L,CekyPerformance,Patreon,,,,,,,,
1960,Ferrari,250 GT California,1:13.84,1,,,,,,,Italy,,240,247,1050,4.375,FR,MT,2.5,L,GeroDa74,link,,,,,,,,
2009,Ferrari,California,1:06.392,0,SM,1:05.436,0,,,,Italy,,394,422,1730,4.390862944,FR,AT,3.5,L,101Creative (AO Mods),Patreon,,,,,,,,
2015,Ferrari,California T,1:05.084,3,MPSS,1:03.482,3,R888R,1:00.974,3,Italy,,597,525,1800,3.015075377,FR,AT,2,L,TGN,Patreon,"power way too high, torque too low",,,,,,,
2019,Ferrari,Portofino Spider,1:03.238,0,,,,,,,Italy,,517,594,1740,3.3655706,FR,AT,3,L,Jandrovi,Youtube,,,,,,,,
2021,Ferrari,Roma,1:00.297,3,,,,,,,Italy,,632,602,1570,2.484177215,FR,AT,3,L,MNBA,Patreon,power way too high,,,,,,,
1962,Ferrari,250 GTO,1:09.803,1,,,,,,,Italy,,243,271,880,3.621399177,FR,MT,4,L,Kunos,AC (FP),,,,,,,,
1984,Ferrari,288 GTO,1:08.180,0,ST,1:05.151,1,SM,1:04.191,2,Italy,,336,422,1160,3.452380952,MR,MT,4,L,Kunos,AC (FP),,,,,,,,
1987,Ferrari,F40,,,,,,,,,Italy,,423,492,1175,2.777777778,MR,MT,4,L,Kunos,AC,,,,,,,,
1992,Ferrari,F40,,,,,,,,,Italy,,471,579,1254,2.662420382,MR,MT,,L,F40LMLover,youtube,,,,,,,,
1987,Ferrari,F40,1:03.73,0,,,,,,,Italy,,438,515,1283,2.929223744,MR,MT,,L,Ferrari,irl,,,,,,,,
1995,Ferrari,F50,,,,,,,,,Italy,,451,387,1230,2.727272727,MR,MT,,L,Dan Bucas (Jandrovi),Patreon,,,,,,,,
1995,Ferrari,F50,1:05.81,0,,,,,,,Italy,,440,403,1334,3.031818182,MR,MT,,L,Ferrari,irl,,,,,,,,
2002,Ferrari,Enzo,1:01.792,0,,,,,,,Italy,,564,560,1365,2.420212766,MR,AT,3,L,ACR,link,,,,,,,,
2002,Ferrari,Enzo,0:59.342,2,,,,,,,Italy,,594,643,1365,2.297979798,MR,AT,3,L,Assettodrive,link,"power little too high, unrealistic levels of grip/pace",,,,,,,
2002,Ferrari,Enzo,,,,,,,,,Italy,,566,571,1365,2.411660777,MR,AT,,L,Yasuo,link,,,,,,,,
2013,Ferrari,LaFerrari,0:59.372,0,HTrofeo,0:56.883,2,,,,Italy,,700,614,1370,1.957142857,MR,AT,3.5,L,Kunos,AC,,,,,,,,
2015,Ferrari,LaFerrari,,,,,,,,,Italy,,700,614,1480,2.114285714,MR,AT,,L,S. Stirpe,Patreon,,,,,,,,
1976,Fiat,126,1:41.675,0,,,,,,,Italy,,20,27,580,29,RR,MT,3,L,ACR,link,,,,,,,,
1974,Fiat,131,1:28.091,0,,,,,,,Italy,,75,123,985,13.13333333,FR,MT,3,L,ACR,link,,,,,,,,
1992,Fiat,Panda 900,,,,,,,,,Italy,,45,64,715,15.88888889,FF,MT,,L,SATLAB,link,,,,,,,,
1996,Fiat,Coupe 2.0 20v Turbo,1:14.062,0,Pirelli0,1:12.116,0,SM,1:11.234,1,Italy,,192,275,1310,6.822916667,FF,MT,2,L,AC Cars Reworked,link,me no likey,,,,,,,
1996,Fiat,Coupe 2.0 20v Turbo,1:12.897,0,ST,1:11.022,1,,,,Italy,,191,270,1315,6.884816754,FF,MT,4,R,101Creative,Patreon,me likey very enjoyable fwd experience,,,,,,,
2012,Fisker,Karma EcoSport,,,,,,,,,USA,,353,1131,2400,6.798866856,FR,AT,,L,DanielDi,Patreon,,,,,,,,
1969,Ford,F350,,,,,,,,,USA,,216,410,1805,8.356481481,F4,MT,,L,?,link,,,,,,,,
2011,Ford,F150 SVT Raptor,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,
2005,Ford,Transit,1:30.102,0,,,,,,,USA (UK),,83,226,2070,24.93975904,FR,MT,5,R,Gary Paterson,RD,rest in peace sabine <3,,,,,,,
2010,Ford,Crown Victoria Police Interceptor,1:12.603,2,,,,,,,USA,,239,389,1929,8.071129707,FR,AT,3,L,Bruce K.,link,"power too high, and time is not accurate due to manual gear selection of automatic",,,,,,,
2005,Ford,GT,1:05.817,0,HR,1:04.214,0,SM,1:02.866,0,USA,,550,677,1580,2.872727273,MR,MT,4,L,Wolf24,Discord,extremely taxing but rewarding to drive,,,,,,,
2017,Ford,GT,0:59.728,0,,,,,,,USA,,561,649,1457,2.59714795,MR,AT,4,L,Axis/Paris,Youtube,"good ffb and general look, feel, and polish is top notch",,,,,,,
2017,Ford,GT,1:01.244,0,,,,,,,USA,,565,636,1450,2.566371681,MR,AT,3,L,ACR,FB,not as good as axis gt mk2 but acceptable,,,,,,,
1970,Ford,Mustang Mach 1,1:18.852,0,,,,,,,USA,,259,402,1477,5.702702703,FR,MT,3,L,Joshua Widder,link,,,,,,,,
1970,Ford,Mustang Mach 1 428,1:19.033,0,,,,,,,USA,,301,477,1537,5.106312292,FR,MT,3,L,Joshua Widder,link,,,,,,,,
1970,Ford,Mustang Boss 302,1:16.804,0,,,,,,,USA,,270,320,1464,5.422222222,FR,MT,3.5,L,Joshua Widder,link,,,,,,,,
1970,Ford,Mustang Boss 429,1:19.356,0,,,,,,,USA,,367,499,1724,4.697547684,FR,MT,3,L,Joshua Widder,link,,,,,,,,
1978,Ford,Mustang King Cobra,1:16.607,1,,,,,,,USA,,139,339,1359,9.776978417,FR,MT,3,L,Uncle M,link,tires are too grippy,,,,,,,
2000,Ford,Mustang SVT Cobra R,1:09.868,0,SM,1:08.201,0,,,,USA,,340,459,1680,4.941176471,FR,MT,3,L,101Creative (AO Mods),Patreon,,,,,,,,
2010,Ford,Mustang GT (S197),1:10.88,0,,,,,,,USA,,377,471,1617,4.289124668,FR,MT,,L,Ford,irl,,,,,,,,
2012,Ford,Mustang Boss 302 Laguna Seca,1:05.071,0,,,,,,,USA,,416,481,1603,3.853365385,FR,MT,3.5,L,A3DR (U. Kuznetsov Anton),link,,,,,,,,
2015,Ford,Mustang Ecoboost (S550),1:10.357,0,,,,,,,USA,,272,393,1660,6.102941176,FR,AT,,L,Ford,irl,,,,,,,,
2015,Ford,Mustang Ecoboost (S550),,,,,,,,,USA,,289,389,1605,5.553633218,FR,MT,,L,IXAssetto,FB,,,,,,,,
2018,Ford,Mustang Ecoboost (S550),1:09.071,0,SM,1:08.066,0,,,,USA,,280,429,1583,5.653571429,FR,AT,3.5,L,IXAssetto,FB,IXA mustangs all have odd ffb which feels very numb not dissimilar to most eps feel irl,,,,,,,
2018,Ford,Mustang Ecoboost HPP (S550),,,,,,,,,USA,,298,429,1647,5.526845638,FR,,,L,IXAssetto,FB,,,,,,,,
2015,Ford,Mustang V6 (S550),,,,,,,,,USA,,265,349,1599,6.033962264,FR,MT,,L,IXAssetto,FB,,,,,,,,
2015,Ford,Mustang GT (S550),1:08.418,0,SM,1:07.269,0,,,,USA,,381,488,1680,4.409448819,FR,MT,4,L,Kunos,AC,,,,,,,,
2018,Ford,Mustang GT (S550),,,,,,,,,USA,,423,523,1681,3.973995272,FR,,,L,IXAssetto,FB,,,,,,,,
2018,Ford,Mustang GT PP2 (S550),,,,,,,,,USA,,423,523,1692,4,FR,,,L,IXAssetto,FB,,,,,,,,
2021,Ford,Mustang GT Mach 1 (S550),,,,,,,,,USA,,440,523,1754,3.986363636,FR,MT,,L,IXAssetto,FB,,,,,,,,
2021,Ford,Mustang GT Mach 1 (S550),1:03.686,1,,,,,,,USA,,481,570,1680,3.492723493,FR,MT,4,L,Mr DK,link,"cup 2 for the lap time, too much power otherwise",,,,,,,
2016,Ford,Mustang Shelby GT350R,1:04.505,0,SM,1:03.059,1,,,,USA,,463,506,1680,3.628509719,FR,MT,4.5,L,101Creative (AO Mods),Patreon,enjoyable and good turn plus p good ffb to boot,,,,,,,
2020,Ford,Mustang Shelby GT500 (HP),1:03.157,0,,,,,,,USA,,591,756,1897,3.209813875,FR,AT,4,L,IXAssetto,FB,"both gt500s end up feeling similar with the cfhp actually feeling a little more nimble surprisingly, however they both are down on power compared to real life",,,,,,,
2020,Ford,Mustang Shelby GT500 (CFHP),1:02.811,0,,,,,,,USA,,591,756,1858,3.143824027,FR,AT,4,L,IXAssetto,FB,,,,,,,,
1973,Ford,Escort I 1600,1:13.171,3,,,,,,,USA (UK),,142,190,891,6.274647887,FR,MT,3.5,R,101Creative (AO Mods),Patreon,tires have way too much grip for 1970s,,,,,,,
1986,Ford,Escort III RS Turbo,1:15.827,0,ST,1:13.940,1,,,,USA (UK),,129,176,977,7.573643411,FF,MT,3,R,Kuznetsov Anton,link,,,,,,,,
1992,Ford,Escort RS Cosworth,1:12.049,0,,,,,,,USA (UK),,183,283,1275,6.967213115,FF,MT,3,R,Markos Kass,link,tires feel dry idk how best to describe it loss of grip very sudden,,,,,,,
1981,Ford,Fiesta XR2,1:19.943,0,,,,,,,USA (UK),,84,122,800,9.523809524,FF,MT,3,R,Uncle M,link,,,,,,,,
2005,Ford,Fiesta ST (Mk5),1:13.41,0,,,,,,,USA (UK),,129,165,1137,8.813953488,FF,MT,,R,Ford,irl,,,,,,,,
2014,Ford,Fiesta ST (Mk6),,,,,,,,,USA (UK),,172,226,1393,8.098837209,FF,MT,,R,101Creative (AO Mods),Patreon,,,,,,,,
2009,Ford,Focus RS MK2,1:08.849,0,MPSC,1:06.236,2,,,,USA (UK),,268,332,1468,5.47761194,FF,MT,4,R,BZ Simworks,FB,pretty good representation of torque steer in a sim,,,,,,,
2013,Ford,Focus ST MK3,1:09.718,0,,,,,,,USA (UK),,247,354,1310,5.303643725,FF,MT,3,L,?,link,,,,,,,,
2017,Ford,Focus RS MK3,1:07.087,0,HC,1:06.050,0,,,,USA (UK),,300,409,1530,5.1,F4,MT,3,L,101Creative (AO Mods),Patreon,,,,,,,,
2017,Ford,Focus RS MK3,1:04.735,2,MPSS,1:03.760(,3,MPSC2R,1:02.666,3,USA (UK),,319,409,1530,4.796238245,F4,MT,2.5,L,TGN,Patreon,not a low quality mod- low rating is from the fact the tires are hilariously grippy to the point this isnt a street car anymore at all,,,,,,,
2017,Ford,Focus RS MK3,,,,,,,,,USA (UK),,321,410,1530,4.76635514,F4,,,L,Fox,link,,,,,,,,
1987,Ford,Sierra Cosworth RS500,1:13.244,0,SM,1:09.932,0,ST,1:10.245,0,USA (UK),,193,241,1200,6.21761658,FR,MT,3.5,R,101Creative (AO Mods),Patreon,,,,,,,,
1987,Ford,Sierra Cosworth RS500,1:13.827,0,SM,1:09.824,0,ST,1:11.307,0,USA (UK),,193,241,1250,6.476683938,FR,MT,3,R,J. Leman,link,worse than rs500 above,,,,,,,
2014,Ford,Falcon FPV GT F 351,,,,,,,,,USA (AUS),,562,671,1882,3.348754448,FR,MT,,R,Bruce K.,link,,,,,,,,
2014,Ford,Falcon XR6 Sprint (FGX),,,,,,,,,USA (AUS),,335,576,1882,5.617910448,FR,MT,,R,Bruce K.,link,,,,,,,,
2014,Ford,Falcon XR6 Turbo (FGX),,,,,,,,,USA (AUS),,371,533,1882,5.07277628,FR,MT,,R,Bruce K.,link,,,,,,,,
2014,Ford,Falcon XR8 (FGX),,,,,,,,,USA (AUS),,450,570,1815,4.033333333,FR,MT,,R,Bruce K.,link,,,,,,,,
2018,Genesis,G70 3.3T,1:06.880,0,HR,1:04.616,3,,,,South Korea,,352,540,1725,4.900568182,FR,AT,3.5,L,SDW,Patreon,bit too fast on the btter tire option otherwise car is pretty good,,,,,,,
2021,Genesis,GV70 3.5T,1:09.332,1,,,,,,,South Korea,,375,530,2038,5.434666667,F4,AT,3.5,L,SDW,Patreon,,,,,,,,
1991,GMC,Typhoon,1:13.418,1,,,,,,,USA,,290,318,2100,7.24137931,FR,MT,3,L,Wack,link,,,,,,,,
2012,GMC,Sierra,1:15.872,1,,,,,,,USA,,282,355,2026,7.184397163,FR,AT,2.5,L,MohdTN,link,,,,,,,,
2011,Gumpert,Apollo S,0:59.341,0,HTrofeo,0:56.465,3,,,,Germany,,633,763,1200,1.895734597,MR,AT,3.5,L,Kuznetsov Anton,link,"way too grippy on htrofeos, feels like slicks but otherwise not terrible but a little too controllable considering the car",,,,,,,
2012,Henessey,Mustang Boss 302 HPE650,1:04.465,0,,,,,,,USA,,562,645,1637,2.912811388,FR,MT,3.5,L,A3DR,link,,,,,,,,
2016,Henessey,Venom GT,0:59.981,0,,,,,,,USA,,1082,1543,1244,1.149722736,MR,MT,3.5,L,WKMOD,link,muy fast,,,,,,,
2018,Henessey,Camaro ZL1 'The Excorcist',0:59.513,0,,,,,,,USA,,999,1114,1700,1.701701702,FR,AT,4,L,Blaze,Patreon,,,,,,,,
2014,Holden,Commodore VF SS,,,,,,,,,USA (AUS),,363,530,1744,4.804407713,FR,MT,,R,Bruce K.,link,,,,,,,,
2016,Holden,Maloo HSV GTS,,,,,,,,,USA (AUS),,562,671,1882,3.348754448,FR,MT,,R,Bruce K.,link,,,,,,,,
1992,Honda,Accord (CB7),1:22.732,0,,,,,,,Japan (USDM),,115,134,1281,11.13913043,FF,MT,3,L,Lucas Macedo,link,,,,,,,,
1998,Honda,Accord Coupe V6 (CG2),1:16.964,0,,,,,,,Japan (USDM),,174,230,1470,8.448275862,FF,MT,1.5,L,Sam S.,Discord,,,,,,,,
2010,Honda,Accord Mugen (CU2),,,,,,,,,Japan,,197,220,1574,7.989847716,FF,MT,,R,ACR,link,,,,,,,,
2020,Honda,Accord 2.0T Sport (CV2),1:09.858,0,,,,,,,Japan (USDM),,226,321,1495,6.615044248,FF,MT,3.5,L,GHOST-GT,link,,,,,,,,
2018,Honda,Odyssey,1:13.911,0,,,,,,,Japan (USDM),,263,280,2050,7.794676806,FF,AT,3,L,PedroBLR,link,,,,,,,,
1996,Honda,Acty (HA3),1:29.671,0,,,,,,,Japan,,37,51,670,18.10810811,MR,MT,5,L,DTM,RD,,,,,,,,
1996,Honda,Beat,1:25.297,0,ST,1:24.069,0,,,,Japan,,53,55,760,14.33962264,MR,MT,4,R,Aruson & Kilin,link,,,,,,,,
2015,Honda,S660,1:13.309,1,SM,1:12.589,2,,,,Japan,,73,117,830,11.36986301,MR,MT,4,R,Blaze,Patreon,"car feels very grippy but idc this is so fun, like a mid engined abarth",,,,,,,
2009,Honda,Fit Sport,1:16.422,0,,,,,,,Japan,,103,130,1070,10.38834951,FF,MT,3.5,L,"Azunyan,Maxxed",from tu dc,,,,,,,,
1983,Honda,City Turbo II,1:12.790,1,,,,,,,Japan,,103,167,735,7.13592233,FF,MT,3,L,TonySSS et al.,link,,,,,,,,
2018,Honda,City,1:10.687,3,,,,,,,Japan,,116,153,1029,8.870689655,FF,MT,2.5,R,ASKHD11,Patreon,way too fast and grippy to be even close to realistic/ not great ffb,,,,,,,
2009,Honda,Insight,1:20.506,0,,,,,,,Japan,,78,94,1220,15.64102564,FF,AT,,R,Honda,irl,,,,,,,,
2022,Honda,E,1:18.184,0,,,,,,,Japan,,132,275,1525,11.5530303,FF,AT,3,L,EX Mods,Patreon,,,,,,,,
1987,Honda,Civic (ED6),1:24.622,0,ST,1:22.730,0,,,,Japan (USDM),,79,99,860,10.88607595,FF,MT,3,L,?,RD,,,,,,,,
1991,Honda,Civic 1.6 VTi (EG6),1:14.20,0,,,,,,,Japan (USDM),,103,124,1137,11.03883495,FF,MT,,R,Honda,irl,,,,,,,,
1999,Honda,Civic 1.6 VTI (EJ6),1:15.476,0,ST,1:14.869,0,,,,Japan (USDM),,108,130,1070,9.907407407,FF,MT,4,L,Lucas Macedo,Patreon,,,,,,,,
2007,Honda,Civic Hybrid (FD3),1:21.082,0,,,,,,,Japan,,100,197,1304,13.04,FF,MT,,R,Honda,irl,,,,,,,,
2022,Honda,Civic RS (FE),1:12.825,0,HR,1:11.470,1,,,,Japan,,157,197,1362,8.675159236,FF,MT,3,R,Danzy,link,slightly too grippy but otherwise believable,,,,,,,
1995,Honda,Civic SiR (EG6),1:11.280,0,,,,,,,Japan,,150,138,1095,7.3,FF,MT,4.5,R,JakubP,link,very competent mod with good feel and fun to drive,,,,,,,
1995,Honda,Civic SiR II (EK),1:11.56,0,,,,,,,Japan,,149,137,1050,7.046979866,FF,MT,,R,Honda,irl,,,,,,,,
2013,Honda,Civic Si Coupe (FG4),1:09.729,0,SM,1:09.032,0,,,,Japan (USDM),,201,231,1305,6.492537313,FF,MT,5,L,Darek,link,best fwd car so far hands down,,,,,,,
1998,Honda,Civic Type R (EK9),1:12.887,0,SM,1:10.963,0,,,,Japan,,154,137,1068,6.935064935,FF,MT,,R,Esprit3095,Youtube,,,,,,,,
1999,Honda,Civic Type R (EK9),1:09.48,0,,,,,,,Japan,,176,161,1073,6.096590909,FF,MT,,R,Honda,irl,,,,,,,,
